d,L,x,T,w_AA,w_BB,w_AB,U,z,N,beta,x_actual,U_hat,m_AB_hat,m_AB_hat_fixed
3,58,0.3934394590516016,3639.983123367846,-0.8784633312306784,0.8906234938980166,0.0091782377087386,-105919.51866305324,6,195112,3.1881925087352934,0.3934406904752142,-0.5428652192743308,-34187742.17389519,-34187742.17389519
3,49,0.3909252105767127,1.1210960079900685,-0.2355020298270744,0.5131148235647416,0.8472918699980527,122092.77092063276,6,117649,10351.447907347349,0.3909255497284294,1.03777142959679,172329.00898744212,172329.00898744212
2,30,0.4718157991088034,0.146502170429657,0.7740767237080743,0.2896314223934297,-0.791694559694879,-715.4581277975045,4,900,79213.61773555694,0.4722222222222222,-0.7949534753305606,541.3845262980739,541.3845262980739
1,97,0.3623461050235858,5246.869291515204,0.1663265841366992,0.3280833661827869,0.7799235195610013,40.69974505729734,2,97,2.2117888365564657,0.3608247422680412,0.4195850005906942,75.97830608555245,75.97830608555245
1,67,0.0495034920152117,129368.35709354463,-0.460167481949107,-0.5333719515387798,-0.5502053457827139,-31.366704338560183,2,67,0.0897048334427935,0.044776119402985,-0.4681597662471669,578.3268504637219,578.3268504637219
1,70,0.4508401215482515,0.0028080474787303,0.5974812790859996,0.2404063755822916,-0.8534746867913074,-31.91059659298912,2,70,4132753.1011304767,0.4571428571428571,-0.4558656656141303,25.41997249443072,25.41997249443072
2,85,0.1331529739791132,106.63859776174476,0.6317590914110833,0.973827926658851,0.0736749588446379,7186.519598875057,4,7225,108.82520184457448,0.1331487889273356,0.9946739929238834,-9854.59084358001,-9854.59084358001
1,62,0.0805847477050534,0.0550551506745001,-0.2107565357243115,-0.1244336020903473,-0.6836619461288118,-17.795959318952317,2,62,210788.03315707456,0.0806451612903225,-0.2870316019185857,34.088923522568706,34.088923522568706
2,99,0.4119419141433587,22.665768727039943,0.9037011544543294,0.5846156149925448,-0.3686951775404632,1256.698753619582,4,9801,512.0041179984202,0.4118967452300786,0.1282214828710929,-1127.870058076281,-1127.870058076281
3,76,0.1571346824879096,159931.14595963413,-0.9362564249271728,-0.5009020863252307,0.7020174545807494,-647452.345012123,6,438976,0.0725622695705144,0.1571338752004665,-1.4749151320621696,-455759.0038169744,-455759.0038169744
1,57,0.1750637513131429,1073.108100524802,0.2435342905905961,0.7548776065158267,0.4907583843330134,18.846694710198392,2,57,10.814350315843177,0.175438596491228,0.3306437668455858,-2191.5726928327267,-2191.5726928327267
2,66,0.4009233185760192,0.0071977106566892,-0.2016016269004981,0.0963512114490074,0.7167880530153379,1287.21268660677,4,4356,1612313.6201729884,0.4008264462809917,0.2955033715809848,1673.193199017503,1673.193199017503
2,22,0.2539414080180091,0.0022876155058448,-0.325778840264989,0.6504393582204926,0.3286697751422063,-40.65714625777612,4,484,5072953.429540001,0.2541322314049586,-0.0840023683011903,-243.4885379577625,-243.4885379577625
3,26,0.4632130746829883,387918.9131940736,-0.2817335967787675,-0.0274455912099083,0.1131933337098916,-1594.9387074209722,6,17576,0.0299159606070518,0.4631884387801547,-0.0907452610048345,-5954.251341163271,-5954.251341163271
2,35,0.2140152697590673,1.0106742532557564,-0.7509227295104128,-0.9410338739859094,0.6330081194736954,-1204.6794127944538,4,1225,11482.400870963478,0.2138775510204081,-0.9834117655464928,-813.4599676239741,-813.4599676239741
1,98,0.1298278987986542,0.2463946138946096,0.0349418693178118,-0.0142528214531627,0.6738049688155174,11.43591890776601,2,98,47099.10960475807,0.1326530612244898,0.116693050079245,17.193945702043074,17.193945702043074
3,40,0.2479582405285869,32.995313833940905,-0.5926338383566803,0.827240629341889,0.01336367581745,-53770.04018493336,6,64000,351.7156098059815,0.247953125,-0.8401568778895837,517312.5215114983,517312.5215114983
3,35,0.016494144232206,7.85174353405463,0.9441793469091468,-0.6212616010759218,-0.9516172866455912,113443.0891252235,6,42875,1478.01146019494,0.0164897959183673,2.6459029533579828,-101916.0576336542,-101916.0576336542
2,70,0.0739067978150655,0.0226560041548315,0.6099826008927125,-0.9457261304099652,-0.0475847089609817,4989.816619886473,4,4900,512224.7880312755,0.0738775510204081,1.0183299224258109,41474.3422349582,41474.3422349582
1,35,0.4788196126419869,0.001200075040014,0.1159459101924542,0.1804446917091928,0.2714081009995568,6.517220849063168,2,35,9670201.061517686,0.4857142857142857,0.1862063099732333,51.6987436107078,51.6987436107078
1,41,0.0660607431399082,135367.37392199747,-0.9445670889948548,0.8162975301953215,0.448144322454439,-30.450150956846013,2,41,0.0857294234911535,0.073170731707317,-0.7426866087035613,-57.84820718474042,-57.84820718474042
1,85,0.1648637087908643,9.542496428959485,-0.4752705941837247,0.0100479463715521,-0.7315631001248863,-46.5724958442873,2,85,1216.135317653943,0.1647058823529411,-0.5479117158151448,92.54834288494123,92.54834288494123
2,73,0.2471821294809043,0.399805118719462,0.2237194158996127,-0.6942990032649223,0.8277423162422066,2621.173502004624,4,5329,29026.55914715118,0.2471382998686432,0.4918696757374036,2465.7578954795817,2465.7578954795817
1,78,0.1239655381365315,1059.546075023003,-0.2264331807852886,-0.8935896312791718,-0.3338133886050072,-21.08953532876805,2,78,10.95277232336717,0.1282051282051282,-0.2703786580611289,-91.8556648110291,-91.8556648110291
2,80,0.1598955708113527,7717.639089977095,-0.3950923339414887,-0.5920445531874219,-0.5604253382817139,-5692.132494389481,4,6400,1.50369391345543,0.15984375,-0.8893957022483563,85126.28907800355,85126.28907800355
3,37,0.4174255045398208,24.778480784623177,-0.3673370464691226,-0.0493374727416169,-0.4969623511341787,-61130.59260489636,6,50653,468.3486056597132,0.4174283852881369,-1.2068503860560351,211796.86248380475,211796.86248380475
2,62,0.3475077066311436,0.0142766535983072,-0.4338711127514543,-0.6596285923566085,0.8850354487462213,-907.2487484870754,4,3844,812863.2417907988,0.3475546305931321,-0.2360168440393016,-632.9329399622583,-632.9329399622583
2,15,0.4578295035747483,0.8418373688321931,0.1769894465074266,0.8630976432375028,0.1986909667454952,120.16701880218343,4,225,13785.28366107436,0.4577777777777778,0.5340756391208152,-370.8850585006013,-370.8850585006013
1,91,0.1302299191532595,0.0011654688051226,0.7887582089516563,-0.8609807285406328,0.3737740411112848,57.00861763725722,2,91,9957338.089905798,0.1318681318681318,0.6264683256841452,137.69073273753955,137.69073273753955
1,42,0.3048109938807749,40.89027639493946,0.825720448652683,-0.661978040093266,-0.1589081195123929,10.284823761026958,2,42,283.8074953017554,0.3095238095238095,0.2448767562149275,-41.19781241930351,-41.19781241930351
2,23,0.1892388124555847,2.077112935496271,-0.6225135993095579,0.2664273717569834,0.1432707958575603,-419.2962482027184,4,529,5587.065935378021,0.1890359168241966,-0.7926205069994677,-1302.113889261152,-1302.113889261152
1,19,0.085907064688642,400.6547741543231,0.0247000806743482,-0.0561802956180268,0.8204240134270739,2.816311845718054,2,19,28.96500347547161,0.1052631578947368,0.1482269392483186,3.348774981942179,3.348774981942179
2,83,0.1233983445350186,758.3554465797126,-0.4715505987891024,0.0111662981782119,-0.1494507000080671,-5452.568183909523,4,6889,15.302806854205713,0.1233851066918275,-0.7914890671954599,-67521.00913204235,-67521.00913204235
2,72,0.3808636658113786,443493.2322300208,0.8328506821090618,0.3320740065357344,0.9377627244362874,8379.222709026162,4,5184,0.0261671792994244,0.380787037037037,1.6163624052905403,23579.874537453252,23579.874537453252
2,67,0.4570695684218295,62901.98492878996,-0.4921950835515587,-0.2232269316059787,-0.3448704306650088,-3257.4901178663263,4,4489,0.1844928572442031,0.4571173980842058,-0.7256605297095848,-253629.69667296344,-253629.69667296344
2,23,0.2329975441111372,0.0032161366499491,-0.5540918414023659,0.6743607149178701,0.9037197212220958,-107.61002686568452,4,529,3608356.294819727,0.2325141776937618,-0.203421600880311,-126.92624021151084,-126.92624021151084
3,71,0.062624805525662,0.0033537263336944,-0.2734794172423975,0.913906245513509,0.2984424738232452,-216560.0002154444,6,357911,3460320.184521572,0.0626245072098929,-0.6050666233098295,9947177.280765574,9947177.280765574
2,70,0.2866478753462396,0.0013721197845095,-0.8321158147801277,0.6825112795160622,-0.6938280435931652,-6830.593203147574,4,4900,8457692.292508382,0.286734693877551,-1.39399861288726,11033.139214899653,11033.139214899653
1,82,0.3451561494659079,0.1913589131267092,0.2799178992169491,0.9202521218063172,-0.8483170064663241,-19.94340873583129,2,82,60645.029469622765,0.3414634146341463,-0.2432123016564791,14.113469261698638,14.113469261698638
