d, L, x, T, w_AA, w_BB, w_AB, U
1.0, 100.0, 0.0, 0.001, -1.0, 1.0, 1.0, -100.0
1.0, 100.0, 0.0, 0.001, 1.0, -1.0, -1.0, 100.0
1.0, 100.0, 0.0, 0.001, 1.0, -1.0, 1.0, 100.0
1.0, 100.0, 0.0, 0.001, 1.0, 1.0, -1.0, 100.0
1.0, 100.0, 0.0, 0.001, 1.0, 1.0, 1.0, 100.0
1.0, 100.0, 0.0, 1000000.0, -1.0, -1.0, -1.0, -100.0
1.0, 100.0, 0.0, 1000000.0, -1.0, -1.0, 1.0, -100.0
1.0, 100.0, 0.0, 1000000.0, -1.0, 1.0, -1.0, -100.0
1.0, 100.0, 0.0, 1000000.0, -1.0, 1.0, 1.0, -100.0
1.0, 100.0, 0.0, 1000000.0, 1.0, -1.0, -1.0, 100.0
1.0, 100.0, 0.0, 1000000.0, 1.0, -1.0, 1.0, 100.0
1.0, 100.0, 0.0, 1000000.0, 1.0, 1.0, -1.0, 100.0
1.0, 100.0, 0.0, 1000000.0, 1.0, 1.0, 1.0, 100.0
1.0, 100.0, 0.5, 0.001, -1.0, -1.0, -1.0, -100.0
1.0, 100.0, 0.5, 0.001, -1.0, -1.0, 1.0, -46.73219267807322
