d, L, x, T, w_AA, w_BB, w_AB, U
2.0, 19.0, 0.2396988784523521, 99819.47991599428, -0.3970541772605196, -0.3409370860143033, -0.7290805455081846, -371.66742210752227
3.0, 19.0, 0.059217219108730346, 27844.899097381134, 0.564920604429783, -0.5529531202055016, -0.2506846927313353, 9670.615986080216
1.0, 37.0, 0.09644208438061996, 0.003644991821080522, -0.9479661986480798, -0.8281072508093874, -0.05980276401406681, -30.44876077260444
3.0, 79.0, 0.08103847097346767, 0.0018554809710451372, 0.9359057651515359, 0.1674309142955308, -0.6081380075586456, 1035969.9146965395
1.0, 68.0, 0.06160405287922416, 348141.9979339496, 0.878430407199839, 0.8899542176411408, -0.1080858350316507, 52.011366181576825
2.0, 47.0, 0.12423260943685394, 3.6491197778833433, 0.8942602125106116, 0.6825442898373895, 0.11697282634406792, 3147.338381563126
3.0, 12.0, 0.07302115426857714, 271820.02600178454, 0.17990536899972187, -0.875724877162751, -0.2707814344756152, 587.402929790846
3.0, 78.0, 0.3454020061250512, 264.10036035881643, 0.8027505653987439, 0.7625180112227414, -0.3970435838472257, 360427.7817684449
2.0, 70.0, 0.11508123613903704, 737806.6987820299, -0.0012947969598637865, 0.9935520542421807, -0.41198887244342197, -702.3053537763511
1.0, 76.0, 0.14111242374439165, 651.7850777455408, -0.47110215180162407, -0.2760202563365193, 0.46776115770678683, -24.366651015718563
1.0, 69.0, 0.07854174477354436, 228.1172120990512, 0.9010315723529669, -0.13732238508510775, -0.7008523046063642, 46.1523397227614
